# X 	 Y 	 E 	 DX

0.00354814	18576	1155.39	0.000918953
0.00363078	20843.1	1671.86	0.000920163
0.00371535	15328.7	1116.01	0.000921428
0.0038019	14723	809.233	0.000922751
0.00389046	13688.4	758.561	0.000924134
0.00398108	13269.2	841.296	0.00092558
0.0040738	13711.3	654.157	0.000927091
0.0041687	12751.8	675.494	0.000928672
0.00426579	13104.1	494.299	0.000930324
0.00436516	12122.9	540.386	0.00093205
0.00446684	12612.9	641.647	0.000933855
0.00457089	12041.4	515.627	0.000935741
0.00467735	12187	619.249	0.000937711
0.0047863	11418.2	620.977	0.000939771
0.00489779	11348.4	569.608	0.000941922
0.00501187	11485.2	393.173	0.00094417
0.00512861	11882.7	469.902	0.000946517
0.00524807	11747.7	449.526	0.000948969
0.00537032	11007.9	481.904	0.00095153
0.00549541	11703.7	470.411	0.000954205
0.00562341	12050.6	517.104	0.000956997
0.0057544	11251.3	347.078	0.000959912
0.00588844	11380.5	410.134	0.000962955
0.00602559	11308.1	373.199	0.000966132
0.00616595	11596.6	419.373	0.000969446
0.00630957	10921.5	362.084	0.000972905
0.00645655	11413	420.662	0.000976514
0.00660693	11533.3	286.037	0.000980279
0.00676083	10540.2	359.925	0.000984205
0.00691831	10808.9	312.142	0.0009883
0.00707946	10595.2	364.996	0.00099257
0.00724436	10907.9	309.815	0.000997022
0.0074131	10739	262.658	0.00100166
0.00758577	10397.4	290.455	0.0010065
0.00776247	10408.6	303.31	0.00101154
0.00794328	11029.2	304.94	0.00101679
0.0081283	10522.1	240.18	0.00102225
0.00831764	10983.7	258.808	0.00102795
0.00851138	11034.2	260.937	0.00103388
0.00870964	10893.8	288.899	0.00104005
0.00891251	10781.5	221.58	0.00104648
0.00912011	11022.8	241.65	0.00105316
0.00933254	10906.8	252.545	0.00106012
0.00954993	11229.2	227.16	0.00106735
0.00977237	11013.1	215.888	0.00107487
0.00999997	10996.5	226.232	0.0010827
0.0102329	11015.5	229.992	0.00109083
0.0104713	11283.3	194.405	0.00109928
0.0107152	10860.9	207.463	0.00110805
0.0109647	11651.8	222.259	0.00111717
0.0112201	11394.9	184.578	0.00112664
0.0114815	11224.1	198.24	0.00113647
0.011749	11593.4	200.619	0.00114667
0.0120226	11518.1	181.694	0.00115726
0.0123027	11295	187.954	0.00116825
0.0125892	11920.5	189.761	0.00117964
0.0128825	11423.8	174.782	0.00119145
0.0131826	11569.8	180.089	0.00120369
0.0134896	11733.8	168.099	0.00121638
0.0138038	11832.2	176.565	0.00122953
0.0141254	11783.2	165.538	0.00124315
0.0144544	11601.5	164.852	0.00125725
0.0147911	12118.1	163.965	0.00127185
0.0151356	12206.8	155.141	0.00128695
0.0154882	12143.6	155.145	0.00130259
0.0158489	11980.5	146.648	0.00131876
0.0162181	12200.5	145.931	0.00133548
0.0165959	12160	136.065	0.00135277
0.0169824	12212.3	141.691	0.00137065
0.017378	12346.1	128.718	0.00138911
0.0177828	12349.4	138.216	0.00140819
0.018197	12156.2	120.834	0.00142789
0.0186209	12184.1	128.023	0.00144824
0.0190546	12214.3	117.594	0.00146924
0.0194985	12303.5	118.793	0.00149092
0.0199526	12521.7	120.122	0.00151328
0.0204174	12233.7	110.102	0.00153635
0.020893	12417.5	115.085	0.00156014
0.0213796	12102	105.417	0.00158467
0.0218776	12341.8	105.469	0.00160995
0.0223872	12328.3	106.322	0.00163601
0.0229086	12191.2	98.3142	0.00166285
0.0234422	12065.1	96.2575	0.00169051
0.0239883	12050.3	96.6253	0.00171899
0.0245471	11972.5	93.6362	0.00174832
0.0251189	11957.7	88.8945	0.00177851
0.0257039	11806.4	87.7928	0.00180959
0.0263027	11744.4	86.8561	0.00184156
0.0269153	11492.6	85.2574	0.00187446
0.0275423	11342.8	80.5107	0.00190831
0.0281838	11355.2	78.2206	0.00194311
0.0288404	11098	76.5952	0.0019789
0.0295121	10909	74.0015	0.0020157
0.0301995	10740.9	72.8906	0.00205352
0.0309029	10631.1	72.9294	0.00209239
0.0316228	10508.3	72.1247	0.00213234
0.0323594	10251.6	70.0443	0.00217338
0.0331131	10047.2	69.2077	0.00221554
0.0338844	9794.78	67.3621	0.00225885
0.0346737	9557.17	66.3393	0.00230332
0.0354813	9347.09	67.8513	0.00234899
0.0363078	9202.07	70.285	0.00239587
0.0371535	8930.32	71.0536	0.002444
0.038019	8676.42	70.8646	0.00249341
0.0389046	8470.64	75.292	0.00254412
0.0398108	8248.12	80.5271	0.00259615
0.040738	7990.05	83.8726	0.00264954
0.041687	7697.49	87.8828	0.00270432
0.042658	7477.16	94.0677	0.00276051
0.0436515	7188.63	100.556	0.00281815
0.0446683	6983.6	108.122	0.00287727
0.0457088	6647.96	122.221	0.00293791
0.0467735	6400.06	139.26	0.00300009
0.0478631	6343.18	170.596	0.00306384
0.0489779	5860.36	227.703	0.00312921
0.0501187	5622.64	309.289	0.00319622
0.0512861	5709.56	548.133	0.00326492
0.0524807	0	0	0.00333535
0.0537032	0	0	0.00340753
0.0549541	0	0	0.00348151
0.0562341	0	0	0.00355732
0.057544	0	0	0.00363502
