# X 	 Y 	 E 	 DX

0.0125893	0	0	0.00256641
0.0128825	0	0	0.00257186
0.0131826	0	0	0.00257756
0.0134896	0	0	0.00258351
0.0138038	0	0	0.00258972
0.0141254	0	0	0.00259622
0.0144544	0	0	0.002603
0.0147911	0	0	0.00261008
0.0151356	0	0	0.00261748
0.0154881	0	0	0.0026252
0.015849	0	0	0.00263326
0.0162181	0	0	0.00264168
0.0165959	3.8148e+07	640705	0.00265046
0.0169824	2.56735e+07	261135	0.00265962
0.017378	2.01141e+07	199654	0.00266919
0.0177828	1.44452e+07	112567	0.00267917
0.018197	1.25063e+07	102277	0.00268957
0.0186209	1.10017e+07	85017.9	0.00270043
0.0190546	1.10733e+07	73121.6	0.00271175
0.0194985	7.93498e+06	55001.9	0.00272356
0.0199526	8.4241e+06	54626.8	0.00273586
0.0204174	7.68204e+06	37346.2	0.00274869
0.020893	6.5434e+06	38426.2	0.00276206
0.0213797	6.95232e+06	44402.2	0.00277599
0.0218776	5.99888e+06	34356.9	0.0027905
0.0223873	5.34394e+06	36889.4	0.00280561
0.0229087	5.07715e+06	30899.9	0.00282135
0.0234423	4.64889e+06	28641.5	0.00283774
0.0239883	4.12522e+06	19173.1	0.0028548
0.0245471	4.09999e+06	20565.3	0.00287255
0.0251188	3.23314e+06	18923	0.00289103
0.0257039	3.5413e+06	21829.4	0.00291025
0.0263027	2.73029e+06	14283.8	0.00293024
0.0269154	2.86381e+06	18426.7	0.00295102
0.0275423	2.31805e+06	9978.64	0.00297264
0.0281838	2.32691e+06	10807.5	0.0029951
0.0288403	1.8809e+06	9925.99	0.00301844
0.0295121	1.70538e+06	9606.32	0.00304269
0.0301995	1.64171e+06	8118.62	0.00306788
0.0309029	1.39668e+06	7005.58	0.00309403
0.0316228	1.28774e+06	5379.54	0.00312118
0.0323594	1.25265e+06	6366.53	0.00314937
0.0331131	999268	4949.51	0.00317861
0.0338844	956155	4666.93	0.00320894
0.0346737	851887	3789.69	0.0032404
0.0354813	766100	3405.31	0.00327302
0.0363078	709686	3345.49	0.00330683
0.0371536	628430	3091.6	0.00334187
0.0380189	574564	2708.98	0.00337817
0.0389045	516222	2223.88	0.00341576
0.0398107	466784	2234.19	0.00345469
0.040738	425581	2036.98	0.00349499
0.0416869	385519	1804.57	0.0035367
0.042658	355966	1532.16	0.00357985
0.0436516	320450	1522.35	0.00362449
0.0446684	285424	1418	0.00367064
0.0457088	269700	1192.02	0.00371836
0.0467735	242595	1137.05	0.00376768
0.047863	214295	1131.65	0.00381864
0.0489779	200061	978.576	0.00387129
0.0501187	183022	813.47	0.00392565
0.0512862	165495	855.125	0.00398179
0.0524807	151588	807.552	0.00403974
0.0537031	140146	655.929	0.00409953
0.0549541	125533	651.869	0.00416123
0.0562341	113906	618.461	0.00422486
0.057544	106517	533.61	0.00429049
0.0588844	97001.7	549.067	0.00435815
0.060256	87782.6	450.655	0.00442789
0.0616595	80179.1	449.603	0.00449975
0.0630958	73009.6	435.09	0.0045738
0.0645654	67493.6	364.781	0.00465007
0.0660693	60800.9	361.669	0.00472862
0.0676083	56765.1	333.452	0.00480949
0.069183	52078.6	314.648	0.00489274
0.0707945	46933.9	285.937	0.00497842
0.0724436	42841.6	265.885	0.00506659
0.0741311	39229.6	262.093	0.00515731
0.0758578	36106.1	226.12	0.00525061
0.0776247	32941.9	229.849	0.00534657
0.0794328	30582.7	196.951	0.00544524
0.081283	27703.1	197.749	0.00554667
0.0831764	25284.3	176.778	0.00565094
0.0851138	23397.9	168.583	0.00575809
0.0870964	21297.8	157.607	0.0058682
0.0891251	19525.3	145.966	0.00598133
0.0912011	18112.9	141.501	0.00609754
0.0933254	16358.3	126.145	0.0062169
0.0954993	15140.1	126.391	0.00633948
0.0977237	14004.2	111.24	0.00646534
0.1	12736	105.703	0.00659456
0.10233	11596.9	102.56	0.00672722
0.104713	10702.2	92.4978	0.00686337
0.107152	9800.12	88.9709	0.0070031
0.109648	9001.08	84.6829	0.0071465
0.112202	8448.67	77.3764	0.00729363
0.114816	7796.98	73.9123	0.00744457
0.11749	6935.89	70.2677	0.00759943
0.120227	6515.5	66.0422	0.00775825
0.123027	6150.17	62.2721	0.00792116
0.125893	5686.68	58.3578	0.00808825
0.128825	5081	55.9703	0.00825955
0.131825	4836.73	53.9515	0.0084352
0.134897	4388.02	50.4277	0.00861533
0.138039	4159.58	47.2964	0.00879997
0.141254	3873.7	45.0464	0.00898923
0.144544	3562.23	44.0678	0.00918327
0.147911	3340.34	42.255	0.00938215
0.151356	3084.67	41.3314	0.00958595
0.154882	2947.49	40.1589	0.00979483
0.15849	2736.54	38.5509	0.0100089
0.162181	2553.02	36.9938	0.0102282
0.165959	2396.66	36.7424	0.010453
0.169824	2318.76	37.7937	0.0106833
0.17378	2083.28	37.7458	0.0109192
0.177827	2010.24	38.21	0.0111608
0.18197	1897.06	37.8377	0.0114085
0.186209	1785.95	41.0961	0.0116621
0.190546	1673.94	42.8358	0.0119219
0.194985	1598.33	44.6773	0.012188
0.199526	1570.36	47.9975	0.0124606
0.204174	1454.04	50.7259	0.0127398
0.20893	1378.3	53.739	0.0130257
0.213797	1342.46	60.8183	0.0133185
0.218776	1283.84	68.2078	0.0136183
0.223872	1331.85	81.7584	0.0139254
0.229087	1176.05	105.176	0.0142399
0.234423	985.324	148.987	0.0145619
0.239883	1373.99	260.731	0.0148916
0.245471	0	0	0.0152292
0.251188	0	0	0.0155748
0.257039	0	0	0.0159288
0.263027	0	0	0.0162911
