# X 	 Y 	 E 	 DX

0.00354814	986728	8497.88	0.000919116
0.00363078	974570	9262.51	0.000920326
0.00371535	1.08611e+06	7493.61	0.000921591
0.0038019	1.11452e+06	7457.21	0.000922913
0.00389046	1.05602e+06	6280.34	0.000924296
0.00398108	1.11267e+06	6763.27	0.000925742
0.0040738	1.04657e+06	6011.92	0.000927253
0.0041687	1.03266e+06	7135.66	0.000928833
0.00426579	1.09009e+06	5080.91	0.000930485
0.00436516	1.08662e+06	5480.47	0.000932211
0.00446684	1.06762e+06	6732.99	0.000934015
0.00457089	1.10319e+06	4588.05	0.000935901
0.00467735	1.09525e+06	4440.76	0.000937871
0.0047863	1.09162e+06	4496.12	0.00093993
0.00489779	1.10241e+06	4735.29	0.000942081
0.00501187	1.08849e+06	4065.93	0.000944328
0.00512861	1.08122e+06	4367.03	0.000946676
0.00524807	1.08125e+06	4099.63	0.000949127
0.00537032	1.0768e+06	3903.88	0.000951688
0.00549541	1.0816e+06	3743.9	0.000954362
0.00562341	1.05578e+06	3950.64	0.000957154
0.0057544	1.04792e+06	3683.76	0.000960068
0.00588844	1.04207e+06	3703.54	0.000963111
0.00602559	1.02877e+06	3805.11	0.000966287
0.00616595	1.02124e+06	3077.72	0.000969601
0.00630957	1.00102e+06	3248.04	0.000973059
0.00645655	995511	3362.07	0.000976668
0.00660693	974891	2878.01	0.000980432
0.00676083	961574	3261.35	0.000984358
0.00691831	945487	2631.92	0.000988452
0.00707946	935308	2894.42	0.000992721
0.00724436	907548	2591.33	0.000997172
0.0074131	885107	2573.76	0.00100181
0.00758577	872691	2405.3	0.00100665
0.00776247	859039	2286.78	0.00101168
0.00794328	839113	2357.36	0.00101693
0.0081283	816955	2049.35	0.0010224
0.00831764	795067	2182.98	0.0010281
0.00851138	781900	1864.81	0.00103402
0.00870964	759553	1920.18	0.0010402
0.00891251	733889	1833.29	0.00104662
0.00912011	722020	1780.35	0.0010533
0.00933254	702633	1612.27	0.00106026
0.00954993	676654	1582.29	0.00106749
0.00977237	655775	1543.43	0.00107501
0.00999997	635435	1392.16	0.00108283
0.0102329	614630	1382.98	0.00109096
0.0104713	593426	1289.09	0.00109941
0.0107152	572796	1232.66	0.00110819
0.0109647	555037	1193.89	0.0011173
0.0112201	529837	1085.09	0.00112677
0.0114815	510935	1041.36	0.0011366
0.011749	489965	1000.92	0.0011468
0.0120226	467317	939.904	0.00115739
0.0123027	448650	880.311	0.00116837
0.0125892	428844	861.352	0.00117976
0.0128825	407739	801.915	0.00119157
0.0131826	389121	724.393	0.00120382
0.0134896	368770	713.62	0.00121651
0.0138038	350646	664.985	0.00122965
0.0141254	333892	619.05	0.00124327
0.0144544	314528	604.294	0.00125737
0.0147911	299000	550.65	0.00127196
0.0151356	280284	521.843	0.00128707
0.0154882	265761	482.172	0.0013027
0.0158489	248156	459.065	0.00131887
0.0162181	234422	419.223	0.0013356
0.0165959	218099	405.786	0.00135289
0.0169824	204545	368.629	0.00137075
0.017378	190425	353.005	0.00138922
0.0177828	177504	324.879	0.0014083
0.018197	164405	304.853	0.001428
0.0186209	152890	279.339	0.00144834
0.0190546	140601	262.733	0.00146934
0.0194985	130289	242.733	0.00149102
0.0199526	119330	228.12	0.00151338
0.0204174	109964	212.891	0.00153645
0.020893	101216	194.149	0.00156023
0.0213796	92139.6	180.796	0.00158476
0.0218776	84106	169.15	0.00161004
0.0223872	76834	156.168	0.0016361
0.0229086	70143.5	144.75	0.00166294
0.0234422	63419.7	133.239	0.0016906
0.0239883	57715.9	123.959	0.00171908
0.0245471	52241.7	114.409	0.00174841
0.0251189	47056.7	105.756	0.0017786
0.0257039	42442.6	97.9035	0.00180967
0.0263027	38281.5	89.7282	0.00184164
0.0269153	34353.5	83.7365	0.00187454
0.0275423	30857.7	76.8512	0.00190839
0.0281838	27800.9	71.1407	0.00194319
0.0288404	25004.5	66.1838	0.00197898
0.0295121	22361.1	60.4297	0.00201577
0.0301995	20093.8	56.4991	0.00205359
0.0309029	18007.7	53.3187	0.00209246
0.0316228	16163.6	50.2542	0.00213241
0.0323594	14421.2	46.8814	0.00217345
0.0331131	13017.6	44.0883	0.00221561
0.0338844	11708.8	41.2395	0.00225891
0.0346737	10566.1	38.8366	0.00230339
0.0354813	9503.34	37.6999	0.00234905
0.0363078	8550.56	37.3078	0.00239593
0.0371535	7662.87	36.4235	0.00244406
0.038019	6915.94	35.0662	0.00249347
0.0389046	6343.65	36.4467	0.00254418
0.0398108	5635.51	36.5475	0.00259621
0.040738	5063.19	36.857	0.0026496
0.041687	4628.69	37.5326	0.00270437
0.042658	4139.92	38.0605	0.00276057
0.0436515	3809.39	40.1122	0.0028182
0.0446683	3539.73	42.2036	0.00287733
0.0457088	3093.43	44.9127	0.00293796
0.0467735	2851.37	51.1969	0.00300014
0.0478631	2613.89	60.0181	0.00306389
0.0489779	2288.01	77.1505	0.00312926
0.0501187	2284.72	116.584	0.00319627
0.0512861	2008.15	227.824	0.00326497
0.0524807	0	0	0.00333539
0.0537032	0	0	0.00340757
0.0549541	0	0	0.00348155
0.0562341	0	0	0.00355737
0.057544	0	0	0.00363506
